UserName;Date;Favorites;Retweets;Text
FinancialBear;Fri Apr 10 23:04:12 CEST 2015;0;0;@iainmartin1 @CapX got it in one and that is what will snag @David_Cameron he underestimates Miliband and his mega giveaway&mega Gov
ubedizzy11;Fri Apr 10 23:03:48 CEST 2015;0;1;Hey @David_Cameron While normal people are repulsed. Are you still happy to eat Halal ? pic.twitter.com/OKpz41xgOA
floopyyears;Fri Apr 10 23:03:27 CEST 2015;0;0;@David_Cameron TELL THE UK PUBLIC TRUTH YOU GOING TO PUT UP VAT AND HURT THE OLD MORE BY COUNCIL BLAMEING LIKE THIS YEAR
rogerkb2012;Fri Apr 10 23:02:14 CEST 2015;0;0;@BBCPolitics @BBCNews @David_Cameron track record on keeping promises is at best sketchy; hj cannot be trusted to keep this promise.
momurray100;Fri Apr 10 22:59:35 CEST 2015;0;0;@BBCPolitics @mickfealty @David_Cameron Forget deficit. Anything u can spend I can spend more. Deceitful? U might say that so might I
stop_the_tories;Fri Apr 10 22:58:28 CEST 2015;1;0;@David_Cameron @age_uk Smacks of desperation to me. Nobody cares about shit policies like this. How stupid can the @tories really be?
greyprawn;Fri Apr 10 22:58:25 CEST 2015;2;0;@C4Gogglebox @David_Cameron Leon needs to look in the mirror about being fat faced.Ridiculous comment Leon. #GoneDownInMyEstimation
toniwales82;Fri Apr 10 22:58:01 CEST 2015;2;0;" @C4Gogglebox: Fat faced tory. Posh nob. @David_Cameron. #Gogglebox" #Leon
MikkiL;Fri Apr 10 22:58:00 CEST 2015;1;0;@PaulOnPolitics @pripley2426 @David_Cameron @Ed_Miliband only give choice of 2 add Farage and see what poll says ?
Biffed;Fri Apr 10 22:57:40 CEST 2015;13;12;You can't get a scone wrong, can you? @David_Cameron found out how easy it is to slip up. http://trib.al/2FfTnw5  pic.twitter.com/pWF0FBpUnq
stuarthatto;Fri Apr 10 22:56:28 CEST 2015;0;0;more people would vote for @David_Cameron @Ed_Miliband @Nigel_Farage if you would put your policies and not childishly attack each other
hayleyTcovell;Fri Apr 10 22:55:18 CEST 2015;0;0;@David_Cameron please can you stop going on about Ed. I want to hear what you plan to give the country not what Ed has said/done/failed etc
Choclette8;Fri Apr 10 22:54:26 CEST 2015;0;0;@jam_first @sandycann2 @Tweet_Bus @David_Cameron @Telegraph @jamieoliver @Nathanoutlaw @ricky_martin sorry watching local screening of Pride
VanillaBake;Fri Apr 10 22:53:53 CEST 2015;1;1;" @mamajasper: @C4Gogglebox @David_Cameron #loveLeon @VanillaBake " @LeonAndJune
Goldie090;Fri Apr 10 22:53:20 CEST 2015;1;0;@C4Gogglebox @David_Cameron Well said Leon ! lolll #gogglebox
pj_kent;Fri Apr 10 22:53:16 CEST 2015;1;0;I'm going to vote for @david_cameron... just to annoy @LeonAndJune from @C4Gogglebox.
PhilipJTaylor1;Fri Apr 10 22:51:58 CEST 2015;0;0;@wenhellfreezes @David_Cameron ...and to charge you and me the tax payer for bringing in 2000 expensive contract staff to fill absences.
big_terence;Fri Apr 10 22:51:48 CEST 2015;1;0;@C4Gogglebox @David_Cameron Fat Faced Tory Posh Nob this is killing me with laughter
C4Gogglebox;Fri Apr 10 22:50:59 CEST 2015;192;138;Fat faced tory. Posh nob. @David_Cameron. #Gogglebox
Emily_Pownall;Fri Apr 10 22:50:37 CEST 2015;0;0;Id start with @Nigel_Farage and @David_Cameron https://www.youtube.com/watch?v=p1vhsgh2pAw …
JPGSheedy;Fri Apr 10 22:48:47 CEST 2015;0;0;Kind of getting sick of @David_Cameron taking credit for #libdems policy... you didn't cut income tax, you didn't protect education...
POLITICALRAHIM;Fri Apr 10 22:48:23 CEST 2015;1;0;@DLsmallplant @TheWorldStories @David_Cameron agreed !
MartinHoyle0121;Fri Apr 10 22:48:00 CEST 2015;0;0;#skynews #bbcnews seem extremely worked up over @David_Cameron Big Society Old Boy @chrismasonbbc What Charity Work is Danny Cohen doing? ;)
DLsmallplant;Fri Apr 10 22:47:57 CEST 2015;2;1;@POLITICALRAHIM @TheWorldStories @David_Cameron Warmongers & cheats the misery they deal on others disgusting
POLITICALRAHIM;Fri Apr 10 22:46:37 CEST 2015;3;0;@DLsmallplant @TheWorldStories @David_Cameron if they sent thier own kids to the front line, we'd get less wars.
little7bear;Fri Apr 10 22:46:03 CEST 2015;0;1;@poroshenko @VP @David_Cameron @RegSprecher @fhollande 1939-45 Ukraine tremendously helped Europe. Today Ukraine needs Europe's help at war.
DLsmallplant;Fri Apr 10 22:45:42 CEST 2015;1;1;@TheWorldStories @POLITICALRAHIM May peace & Safety find her soon. @David_Cameron War this what happens are you're children safe I'm alright
dharmabum013;Fri Apr 10 22:44:58 CEST 2015;1;2;@royrodel1 @David_Cameron @Conservatives pic.twitter.com/hxtf6JljdE
DominicOliver82;Fri Apr 10 22:43:29 CEST 2015;0;0;@afneil Utterly disgraceful, I fear for our democracy when I hear you say things like this, are you listening @David_Cameron @Ed_Miliband
SheepdogNo1;Fri Apr 10 22:43:29 CEST 2015;0;0;@campbellclaret @David_Cameron Society is a dirty word under Thatcher So mention Society enough times to fool people that you've detoxified
Rono66;Fri Apr 10 22:41:05 CEST 2015;0;0;@royrodel1 @JoyMillward @David_Cameron @Conservatives Taxes and laws are only for the poor, now you know your place, plebs.
MikkiL;Fri Apr 10 22:40:54 CEST 2015;1;3;@davidericstan @StevePowellUKIP @ukipwebmaster @mitchseymour1 @David_Cameron are you gonna tell people we're fully integrated in March 2017
little7bear;Fri Apr 10 22:39:17 CEST 2015;0;0;@EuromaidanPress @VP @David_Cameron Putin again invading Ukraine. Urge you to economically and politically destroy and militarily deter him.
jeografy;Fri Apr 10 22:37:51 CEST 2015;1;1;@SkyNews Aah, yes @David_Cameron offering back what's ours already! Only a #Tory can do that. #Panic #Election2015 pic.twitter.com/rSKCpqWjzv
TheSecondCity;Fri Apr 10 22:35:23 CEST 2015;1;1;. @leatiti02627999 @Trevornoah Great manicure. And is that a rose? Roses are just great, aren't they? Sup, @David_Cameron.
little7bear;Fri Apr 10 22:34:10 CEST 2015;1;0;@noclador @VP @David_Cameron Clark: At minimum US shld pre-position equipment&announce it be delivered immediately in event of new offensive
As_marius;Fri Apr 10 22:33:38 CEST 2015;0;0;@David_Cameron: @Conservatives Don't blame immigrants for crisis, sort it with bankers Crisis not exist it was made up
PeterCass1981;Fri Apr 10 22:33:00 CEST 2015;1;0;@David_Cameron just been informed I've got to pay £20 to have my garden waste taken away? What have you got say for yourself
kirstyhyndes;Fri Apr 10 22:31:12 CEST 2015;0;1;@campbellclaret @David_Cameron you should send each leader yr new book in a brown paper parcel. I'm 1/2 way through & think it's a must read
