,scores,,,,,
1259,-1,-1,,,,
1260,0,0,,,,
1261,0,0,,,,
1262,2,1,,,,
1263,0,0,,,,
1264,-2,-1,,,,
1265,0,0,,,,
1266,2,1,,,,
1267,0,0,,,,
1268,0,0,,,,
1269,0,0,,,,
1270,0,0,,,,
1271,-1,-1,,,,
1272,0,0,,,,
1273,0,0,,,,
1274,-2,-1,,,,
1275,-1,-1,,,,
1276,-1,-1,,,,
1277,-1,-1,,,,
1278,1,1,,,,
1279,0,0,,,,
1280,-1,-1,,,,
1281,0,0,,,,
1282,0,0,,,,
1283,0,0,,,,
1284,0,0,,,,
1285,1,1,,,,
1286,-1,-1,,,,
1287,1,1,,,,
1288,0,0,,,,
1289,-1,-1,,,,
1290,0,0,,,,
1291,-1,-1,,,,
1292,0,0,,,,
1293,0,0,,,,
1294,1,1,,,,
1295,0,0,,,,
1296,-1,-1,,,,
1297,1,1,,,,
1298,1,1,,,,
1299,1,1,,,,
1300,-1,-1,,,,
1301,0,0,,,,
1302,-1,-1,,,,
1303,0,0,,,,
1304,0,0,,,,
1305,0,0,,,,
1306,-1,-1,,,,
1307,0,0,,,,
1308,0,0,,,,
1309,1,1,,,,
